GlyTouCanAccession	MotifAccession	Label	Alignment
G51773AH	GGM.000001	Type 2 LN	Substructure
G51773AH	GGM.000018	Lewis x	Substructure
G51778XS	GGM.000001	Type 2 LN	Substructure
G51784IH	GGM.000001	Type 2 LN	Substructure
G51793MY	GGM.000001	Type 2 LN	Substructure
G51793MY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51799AX	GGM.000001	Type 2 LN	Substructure
G51799AX	GGM.000002	Type 2 LN2	Substructure
G51806IG	GGM.000001	Type 2 LN	Substructure
G51806IG	GGM.000005	Type 1 LN	Substructure
G51806IG	GGM.000018	Lewis x	Substructure
G51806IG	GGM.000020	Lewis a	Substructure
G51806IG	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51806IG	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51806IG	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51809HE	GGM.000001	Type 2 LN	Substructure
G51809HE	GGM.000005	Type 1 LN	Substructure
G51809HE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51809TM	GGM.000001	Type 2 LN	Substructure
G51809TM	GGM.000036	Blood group H (type 2)	Substructure
G51809TM	GGM.000038	Blood group A (type 2)	Substructure
G51813EW	GGM.000005	Type 1 LN	Substructure
G51813EW	GGM.000020	Lewis a	Substructure
G51813EW	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51818IV	GGM.000001	Type 2 LN	Substructure
G51818IV	GGM.000005	Type 1 LN	Substructure
G51818IV	GGM.000018	Lewis x	Substructure
G51818IV	GGM.000020	Lewis a	Substructure
G51824LS	GGM.000001	Type 2 LN	Substructure
G51827GO	GGM.000001	Type 2 LN	Substructure
G51827GO	GGM.000015	a-Gal antigen	Substructure
G51828AY	GGM.000005	Type 1 LN	Substructure
G51828AY	GGM.000042	Blood group H (type 1)	Substructure
G51828AY	GGM.000044	Blood group A (type 1)	Substructure
G51840MR	GGM.000001	Type 2 LN	Substructure
G51840MR	GGM.000005	Type 1 LN	Substructure
G51842SQ	GGM.000001	Type 2 LN	Substructure
G51842SQ	GGM.000002	Type 2 LN2	Substructure
G51850NA	GGM.000001	Type 2 LN	Substructure
G51850PT	GGM.000001	Type 2 LN	Substructure
G51850PT	GGM.000015	a-Gal antigen	Substructure
G51850PT	GGM.000018	Lewis x	Substructure
G51850PT	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51850PT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51852RL	GGM.000001	Type 2 LN	Substructure
G51852RL	GGM.000005	Type 1 LN	Substructure
G51852RL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51855ZY	GGM.000001	Type 2 LN	Substructure
G51855ZY	GGM.000005	Type 1 LN	Substructure
G51855ZY	GGM.000018	Lewis x	Substructure
G51855ZY	GGM.000020	Lewis a	Substructure
G51855ZY	GGM.000021	Lewis b	Substructure
G51855ZY	GGM.000042	Blood group H (type 1)	Substructure
G51857BL	GGM.000001	Type 2 LN	Substructure
G51857BL	GGM.000005	Type 1 LN	Substructure
G51857BL	GGM.000018	Lewis x	Substructure
G51857BL	GGM.000020	Lewis a	Substructure
G51857BL	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51857BL	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51857BL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51858NL	GGM.000001	Type 2 LN	Substructure
G51858NL	GGM.000005	Type 1 LN	Substructure
G51862BI	GGM.000001	Type 2 LN	Substructure
G51862BI	GGM.000018	Lewis x	Substructure
G51862BI	GGM.000019	Lewis y	Substructure
G51862BI	GGM.000036	Blood group H (type 2)	Substructure
G51862BI	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G51864LW	GGM.000001	Type 2 LN	Substructure
G51864LW	GGM.000005	Type 1 LN	Substructure
G51864LW	GGM.000018	Lewis x	Substructure
G51864LW	GGM.000020	Lewis a	Substructure
G51864LW	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51864LW	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51864LW	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51877RK	GGM.000001	Type 2 LN	Substructure
G51877RK	GGM.000002	Type 2 LN2	Substructure
G51877RK	GGM.000005	Type 1 LN	Substructure
G51877RK	GGM.000006	Type 1 LN2	Substructure
G51877RK	GGM.000018	Lewis x	Substructure
G51877RK	GGM.000020	Lewis a	Substructure
G51877RK	GGM.000031	Lex-Lex	Substructure
G51878LH	GGM.000001	Type 2 LN	Substructure
G51878LH	GGM.000018	Lewis x	Substructure
G51878LH	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51878NS	GGM.000015	a-Gal antigen	Substructure
G51879PV	GGM.000001	Type 2 LN	Substructure
G51879PV	GGM.000002	Type 2 LN2	Substructure
G51879PV	GGM.000003	I antigen	Substructure
G51879PV	GGM.000005	Type 1 LN	Substructure
G51879PV	GGM.000006	Type 1 LN2	Substructure
G51879PV	GGM.000036	Blood group H (type 2)	Substructure
G51879PV	GGM.000038	Blood group A (type 2)	Substructure
G51879PV	GGM.000042	Blood group H (type 1)	Substructure
G51879PV	GGM.000044	Blood group A (type 1)	Substructure
G51881BN	GGM.000001	Type 2 LN	Substructure
G51881PG	GGM.000001	Type 2 LN	Substructure
G51881PG	GGM.000002	Type 2 LN2	Substructure
G51881PG	GGM.000004	i antigen	Substructure
G51881PG	GGM.000005	Type 1 LN	Substructure
G51881PG	GGM.000006	Type 1 LN2	Substructure
G51881PG	GGM.000007	Type 1 LN3	Substructure
G51882FM	GGM.000001	Type 2 LN	Substructure
G51882FM	GGM.000005	Type 1 LN	Substructure
G51882OJ	GGM.000001	Type 2 LN	Substructure
G51883EC	GGM.000001	Type 2 LN	Substructure
G51883EC	GGM.000005	Type 1 LN	Substructure
G51884VA	GGM.000001	Type 2 LN	Substructure
G51884VA	GGM.000005	Type 1 LN	Substructure
G51885AW	GGM.000001	Type 2 LN	Substructure
G51885AW	GGM.000005	Type 1 LN	Substructure
G51885AW	GGM.000016	LacdiNAc	Substructure
G51885AW	GGM.000017	Fucosylated LDN	Substructure
G51890DD	GGM.000001	Type 2 LN	Substructure
G51890DD	GGM.000005	Type 1 LN	Substructure
G51890DD	GGM.000016	LacdiNAc	Substructure
G51890DD	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51890DD	GGM.000049	4'-sulfated LDN	Substructure
G51891DI	GGM.000001	Type 2 LN	Substructure
G51891DI	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51891UT	GGM.000001	Type 2 LN	Substructure
G51891UT	GGM.000005	Type 1 LN	Substructure
G51891UT	GGM.000015	a-Gal antigen	Substructure
G51891UT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51891WI	GGM.000001	Type 2 LN	Substructure
G51891WI	GGM.000002	Type 2 LN2	Substructure
G51891WI	GGM.000004	i antigen	Substructure
G51894FQ	GGM.000001	Type 2 LN	Substructure
G51894FQ	GGM.000018	Lewis x	Substructure
G51894FQ	GGM.000019	Lewis y	Substructure
G51894FQ	GGM.000036	Blood group H (type 2)	Substructure
G51894FQ	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G51896IF	GGM.000001	Type 2 LN	Substructure
G51896IF	GGM.000018	Lewis x	Substructure
G51896IF	GGM.000019	Lewis y	Substructure
G51896IF	GGM.000036	Blood group H (type 2)	Substructure
G51896IF	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G51902PD	GGM.000001	Type 2 LN	Substructure
G51902PD	GGM.000005	Type 1 LN	Substructure
G51902PD	GGM.000018	Lewis x	Substructure
G51902PD	GGM.000020	Lewis a	Substructure
G51902PD	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51908QJ	GGM.000001	Type 2 LN	Substructure
G51908QJ	GGM.000018	Lewis x	Substructure
G51911JA	GGM.000001	Type 2 LN	Substructure
G51911JA	GGM.000002	Type 2 LN2	Substructure
G51911JA	GGM.000018	Lewis x	Substructure
G51911JA	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51911JA	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51911XK	GGM.000001	Type 2 LN	Substructure
G51911XK	GGM.000018	Lewis x	Substructure
G51914CH	GGM.000001	Type 2 LN	Substructure
G51914CH	GGM.000002	Type 2 LN2	Substructure
G51914CH	GGM.000005	Type 1 LN	Substructure
G51914CH	GGM.000006	Type 1 LN2	Substructure
G51914CH	GGM.000018	Lewis x	Substructure
G51914CH	GGM.000020	Lewis a	Substructure
G51914CH	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51914CH	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51914CH	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51914HP	GGM.000001	Type 2 LN	Substructure
G51914HP	GGM.000005	Type 1 LN	Substructure
G51914HP	GGM.000036	Blood group H (type 2)	Substructure
G51914HP	GGM.000042	Blood group H (type 1)	Substructure
G51915EL	GGM.000001	Type 2 LN	Substructure
G51915EL	GGM.000005	Type 1 LN	Substructure
G51915EL	GGM.000018	Lewis x	Substructure
G51915EL	GGM.000020	Lewis a	Substructure
G51921XC	GGM.000001	Type 2 LN	Substructure
G51921XC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51923CR	GGM.000001	Type 2 LN	Substructure
G51923CR	GGM.000005	Type 1 LN	Substructure
G51929IB	GGM.000001	Type 2 LN	Substructure
G51929IB	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51930XP	GGM.000001	Type 2 LN	Substructure
G51930XP	GGM.000002	Type 2 LN2	Substructure
G51930XP	GGM.000018	Lewis x	Substructure
G51930XP	GGM.000031	Lex-Lex	Substructure
G51931HC	GGM.000013	Sialyl T antigen	Whole-Glycan
G51932GA	GGM.000001	Type 2 LN	Substructure
G51932GA	GGM.000005	Type 1 LN	Substructure
G51932GA	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51934OD	GGM.000001	Type 2 LN	Substructure
G51934OD	GGM.000005	Type 1 LN	Substructure
G51941GC	GGM.000001	Type 2 LN	Substructure
G51941GC	GGM.000005	Type 1 LN	Substructure
G51941GC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51941IR	GGM.000001	Type 2 LN	Substructure
G51941IR	GGM.000015	a-Gal antigen	Substructure
G51942VF	GGM.000005	Type 1 LN	Substructure
G51947SS	GGM.000001	Type 2 LN	Substructure
G51949TL	GGM.000001	Type 2 LN	Substructure
G51949TL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51950UY	GGM.000001	Type 2 LN	Substructure
G51950UY	GGM.000005	Type 1 LN	Substructure
G51950UY	GGM.000015	a-Gal antigen	Substructure
G51950UY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51952VF	GGM.000001	Type 2 LN	Substructure
G51952VF	GGM.000005	Type 1 LN	Substructure
G51955KU	GGM.000005	Type 1 LN	Substructure
G51956RJ	GGM.000001	Type 2 LN	Substructure
G51956RJ	GGM.000018	Lewis x	Substructure
G51957KZ	GGM.000005	Type 1 LN	Substructure
G51957KZ	GGM.000042	Blood group H (type 1)	Substructure
G51963NX	GGM.000001	Type 2 LN	Substructure
G51963NX	GGM.000018	Lewis x	Substructure
G51971QP	GGM.000001	Type 2 LN	Substructure
G51971QP	GGM.000005	Type 1 LN	Substructure
G51971QP	GGM.000018	Lewis x	Substructure
G51971QP	GGM.000020	Lewis a	Substructure
G51971QP	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51974BF	GGM.000015	a-Gal antigen	Substructure
G51976BV	GGM.000015	a-Gal antigen	Substructure
G51979RL	GGM.000001	Type 2 LN	Substructure
G51979RL	GGM.000005	Type 1 LN	Substructure
G51979RL	GGM.000036	Blood group H (type 2)	Substructure
G51979RL	GGM.000038	Blood group A (type 2)	Substructure
G51979RL	GGM.000041	Blood group A2 (A-associated H type 3)	Substructure
G51979RL	GGM.000042	Blood group H (type 1)	Substructure
G51979RL	GGM.000044	Blood group A (type 1)	Substructure
G51980DT	GGM.000001	Type 2 LN	Substructure
G51980DT	GGM.000005	Type 1 LN	Substructure
G51980DT	GGM.000015	a-Gal antigen	Substructure
G51980DT	GGM.000018	Lewis x	Substructure
G51980DT	GGM.000020	Lewis a	Substructure
G51980DT	GGM.000022	Sialyl Lewis x	Nonreducing-End
G51980DT	GGM.000024	Sialyl Lewis a	Nonreducing-End
G51980DT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G51984HT	GGM.000001	Type 2 LN	Substructure
G51984HT	GGM.000005	Type 1 LN	Substructure
G51992CI	GGM.000001	Type 2 LN	Substructure
G51993LM	GGM.000092	GT3	Whole-Glycan
G51994JG	GGM.000001	Type 2 LN	Substructure
G51994JG	GGM.000005	Type 1 LN	Substructure
G51994JG	GGM.000018	Lewis x	Substructure
G51994JG	GGM.000019	Lewis y	Substructure
G51994JG	GGM.000020	Lewis a	Substructure
G51994JG	GGM.000021	Lewis b	Substructure
G51994JG	GGM.000036	Blood group H (type 2)	Substructure
G51994JG	GGM.000042	Blood group H (type 1)	Substructure
G51994JG	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G51996FW	GGM.000015	a-Gal antigen	Substructure
G52003QG	GGM.000001	Type 2 LN	Substructure
G52003QG	GGM.000005	Type 1 LN	Substructure
G52003QG	GGM.000018	Lewis x	Substructure
G52004GX	GGM.000005	Type 1 LN	Substructure
G52013SF	GGM.000001	Type 2 LN	Substructure
G52013SF	GGM.000002	Type 2 LN2	Substructure
G52013SF	GGM.000018	Lewis x	Substructure
G52014JR	GGM.000001	Type 2 LN	Substructure
G52030AX	GGM.000001	Type 2 LN	Substructure
G52030AX	GGM.000002	Type 2 LN2	Substructure
G52030AX	GGM.000005	Type 1 LN	Substructure
G52030AX	GGM.000006	Type 1 LN2	Substructure
G52030AX	GGM.000018	Lewis x	Substructure
G52030AX	GGM.000020	Lewis a	Substructure
G52030AX	GGM.000029	3'-Sulfo-Lewis x	Substructure
G52030AX	GGM.000030	3'-Sulfo-Lewis a	Substructure
G52030AX	GGM.000036	Blood group H (type 2)	Substructure
G52030AX	GGM.000042	Blood group H (type 1)	Substructure
G52038JM	GGM.000001	Type 2 LN	Substructure
G52045RC	GGM.000001	Type 2 LN	Substructure
G52045RC	GGM.000002	Type 2 LN2	Substructure
G52046GM	GGM.000001	Type 2 LN	Substructure
G52046GM	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52052SO	GGM.000001	Type 2 LN	Substructure
G52052SO	GGM.000016	LacdiNAc	Substructure
G52052SO	GGM.000017	Fucosylated LDN	Substructure
G52052SO	GGM.000018	Lewis x	Substructure
G52052SO	GGM.000022	Sialyl Lewis x	Nonreducing-End
G52052SO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52052SO	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G52052SO	GGM.000050	Sialylated LDN	Nonreducing-End
G52056FF	GGM.000001	Type 2 LN	Substructure
G52056QL	GGM.000001	Type 2 LN	Substructure
G52056QL	GGM.000002	Type 2 LN2	Substructure
G52056QL	GGM.000003	I antigen	Substructure
G52056QL	GGM.000005	Type 1 LN	Substructure
G52064IJ	GGM.000001	Type 2 LN	Substructure
G52068VK	GGM.000001	Type 2 LN	Substructure
G52069SB	GGM.000001	Type 2 LN	Substructure
G52069SB	GGM.000005	Type 1 LN	Substructure
G52080WL	GGM.000001	Type 2 LN	Substructure
G52080WL	GGM.000036	Blood group H (type 2)	Substructure
G52092BL	GGM.000001	Type 2 LN	Substructure
G52095QZ	GGM.000001	Type 2 LN	Substructure
G52095QZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52099OS	GGM.000001	Type 2 LN	Substructure
G52099OS	GGM.000002	Type 2 LN2	Substructure
G52099OS	GGM.000005	Type 1 LN	Substructure
G52099OS	GGM.000006	Type 1 LN2	Substructure
G52099OS	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52102YV	GGM.000001	Type 2 LN	Substructure
G52104IE	GGM.000016	LacdiNAc	Substructure
G52104IE	GGM.000049	4'-sulfated LDN	Substructure
G52106FW	GGM.000001	Type 2 LN	Substructure
G52106FW	GGM.000018	Lewis x	Substructure
G52106VD	GGM.000001	Type 2 LN	Substructure
G52106VD	GGM.000002	Type 2 LN2	Substructure
G52106VD	GGM.000005	Type 1 LN	Substructure
G52106VD	GGM.000006	Type 1 LN2	Substructure
G52106VD	GGM.000018	Lewis x	Substructure
G52106VD	GGM.000020	Lewis a	Substructure
G52106VD	GGM.000022	Sialyl Lewis x	Nonreducing-End
G52106VD	GGM.000024	Sialyl Lewis a	Nonreducing-End
G52106VD	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52108KM	GGM.000001	Type 2 LN	Substructure
G52108KM	GGM.000018	Lewis x	Substructure
G52112MC	GGM.000001	Type 2 LN	Substructure
G52112MC	GGM.000036	Blood group H (type 2)	Substructure
G52120NK	GGM.000001	Type 2 LN	Substructure
G52120NK	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52122ZD	GGM.000001	Type 2 LN	Substructure
G52122ZD	GGM.000005	Type 1 LN	Substructure
G52122ZD	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52126RR	GGM.000001	Type 2 LN	Substructure
G52126RR	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52132CU	GGM.000001	Type 2 LN	Substructure
G52132CU	GGM.000005	Type 1 LN	Substructure
G52132CU	GGM.000036	Blood group H (type 2)	Substructure
G52132CU	GGM.000038	Blood group A (type 2)	Substructure
G52132CU	GGM.000042	Blood group H (type 1)	Substructure
G52132CU	GGM.000044	Blood group A (type 1)	Substructure
G52134DC	GGM.000001	Type 2 LN	Substructure
G52134DC	GGM.000002	Type 2 LN2	Substructure
G52134DC	GGM.000005	Type 1 LN	Substructure
G52134DC	GGM.000006	Type 1 LN2	Substructure
G52134DC	GGM.000018	Lewis x	Substructure
G52134DC	GGM.000020	Lewis a	Substructure
G52134DC	GGM.000036	Blood group H (type 2)	Substructure
G52134DC	GGM.000042	Blood group H (type 1)	Substructure
G52136KC	GGM.000001	Type 2 LN	Substructure
G52136KC	GGM.000005	Type 1 LN	Substructure
G52136KC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52138BR	GGM.000001	Type 2 LN	Substructure
G52138BR	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52139YU	GGM.000016	LacdiNAc	Substructure
G52144RR	GGM.000016	LacdiNAc	Substructure
G52153CS	GGM.000001	Type 2 LN	Substructure
G52160KJ	GGM.000001	Type 2 LN	Substructure
G52160KJ	GGM.000002	Type 2 LN2	Substructure
G52160KJ	GGM.000004	i antigen	Substructure
G52160KJ	GGM.000018	Lewis x	Substructure
G52160KJ	GGM.000031	Lex-Lex	Substructure
G52173KV	GGM.000001	Type 2 LN	Substructure
G52173KV	GGM.000005	Type 1 LN	Substructure
G52173KV	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52179YJ	GGM.000001	Type 2 LN	Substructure
G52207DQ	GGM.000001	Type 2 LN	Substructure
G52207DQ	GGM.000005	Type 1 LN	Substructure
G52210EC	GGM.000001	Type 2 LN	Substructure
G52210EC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52210JX	GGM.000054	Diphosphorylated Man6	Core
G52216BO	GGM.000001	Type 2 LN	Substructure
G52216BO	GGM.000002	Type 2 LN2	Substructure
G52217MY	GGM.000001	Type 2 LN	Substructure
G52217MY	GGM.000002	Type 2 LN2	Substructure
G52217MY	GGM.000003	I antigen	Substructure
G52217MY	GGM.000005	Type 1 LN	Substructure
G52217MY	GGM.000006	Type 1 LN2	Substructure
G52217MY	GGM.000018	Lewis x	Substructure
G52217MY	GGM.000020	Lewis a	Substructure
G52217QW	GGM.000001	Type 2 LN	Substructure
G52217QW	GGM.000002	Type 2 LN2	Substructure
G52224MB	GGM.000001	Type 2 LN	Substructure
G52225DV	GGM.000001	Type 2 LN	Substructure
G52225DV	GGM.000005	Type 1 LN	Substructure
G52229YG	GGM.000001	Type 2 LN	Substructure
G52229YG	GGM.000005	Type 1 LN	Substructure
G52229YG	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52230ZP	GGM.000005	Type 1 LN	Substructure
G52230ZP	GGM.000015	a-Gal antigen	Substructure
G52231BF	GGM.000001	Type 2 LN	Substructure
G52232VY	GGM.000001	Type 2 LN	Substructure
G52232VY	GGM.000005	Type 1 LN	Substructure
G52233KF	GGM.000001	Type 2 LN	Substructure
G52233KF	GGM.000018	Lewis x	Substructure
G52233KF	GGM.000019	Lewis y	Substructure
G52233KF	GGM.000036	Blood group H (type 2)	Substructure
G52233KF	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G52236QQ	GGM.000001	Type 2 LN	Substructure
G52236QQ	GGM.000002	Type 2 LN2	Substructure
G52236QQ	GGM.000004	i antigen	Substructure
G52236QQ	GGM.000005	Type 1 LN	Substructure
G52236QQ	GGM.000006	Type 1 LN2	Substructure
G52236QQ	GGM.000007	Type 1 LN3	Substructure
G52236QQ	GGM.000018	Lewis x	Substructure
G52236QQ	GGM.000020	Lewis a	Substructure
G52236UY	GGM.000016	LacdiNAc	Substructure
G52236XX	GGM.000005	Type 1 LN	Substructure
G52238TO	GGM.000001	Type 2 LN	Substructure
G52238TO	GGM.000005	Type 1 LN	Substructure
G52239LM	GGM.000001	Type 2 LN	Substructure
G52239LM	GGM.000018	Lewis x	Substructure
G52241UD	GGM.000001	Type 2 LN	Substructure
G52241UD	GGM.000002	Type 2 LN2	Substructure
G52241UD	GGM.000005	Type 1 LN	Substructure
G52241UD	GGM.000006	Type 1 LN2	Substructure
G52241UD	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52242HT	GGM.000001	Type 2 LN	Substructure
G52242HT	GGM.000002	Type 2 LN2	Substructure
G52242HT	GGM.000005	Type 1 LN	Substructure
G52242HT	GGM.000006	Type 1 LN2	Substructure
G52245AY	GGM.000001	Type 2 LN	Substructure
G52245AY	GGM.000005	Type 1 LN	Substructure
G52245AY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52253CQ	GGM.000001	Type 2 LN	Substructure
G52253CQ	GGM.000005	Type 1 LN	Substructure
G52253CQ	GGM.000015	a-Gal antigen	Substructure
G52253CQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52261NO	GGM.000005	Type 1 LN	Substructure
G52262VT	GGM.000001	Type 2 LN	Substructure
G52262VT	GGM.000036	Blood group H (type 2)	Substructure
G52263GC	GGM.000001	Type 2 LN	Substructure
G52263GC	GGM.000005	Type 1 LN	Substructure
G52263GC	GGM.000018	Lewis x	Substructure
G52263GC	GGM.000020	Lewis a	Substructure
G52263GC	GGM.000022	Sialyl Lewis x	Nonreducing-End
G52263GC	GGM.000024	Sialyl Lewis a	Nonreducing-End
G52263GC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52266YB	GGM.000001	Type 2 LN	Substructure
G52266YB	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52273YQ	GGM.000001	Type 2 LN	Substructure
G52273YQ	GGM.000005	Type 1 LN	Substructure
G52273YQ	GGM.000018	Lewis x	Substructure
G52273YQ	GGM.000020	Lewis a	Substructure
G52273YQ	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G52284PP	GGM.000005	Type 1 LN	Substructure
G52284PP	GGM.000042	Blood group H (type 1)	Substructure
G52286UI	GGM.000001	Type 2 LN	Substructure
G52288AS	GGM.000001	Type 2 LN	Substructure
G52288AS	GGM.000005	Type 1 LN	Substructure
G52288AS	GGM.000018	Lewis x	Substructure
G52288AS	GGM.000020	Lewis a	Substructure
G52292ES	GGM.000001	Type 2 LN	Substructure
G52292ES	GGM.000005	Type 1 LN	Substructure
G52292ES	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52292NG	GGM.000001	Type 2 LN	Substructure
G52292NG	GGM.000005	Type 1 LN	Substructure
G52292NG	GGM.000015	a-Gal antigen	Substructure
G52293LN	GGM.000001	Type 2 LN	Substructure
G52293LN	GGM.000018	Lewis x	Substructure
G52293LN	GGM.000019	Lewis y	Substructure
G52293LN	GGM.000036	Blood group H (type 2)	Substructure
G52293LN	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G52297PX	GGM.000001	Type 2 LN	Substructure
G52297PX	GGM.000005	Type 1 LN	Substructure
G52303GC	GGM.000001	Type 2 LN	Substructure
G52308VC	GGM.000001	Type 2 LN	Substructure
G52308VC	GGM.000005	Type 1 LN	Substructure
G52308VC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52311ZH	GGM.000001	Type 2 LN	Substructure
G52311ZH	GGM.000005	Type 1 LN	Substructure
G52311ZH	GGM.000015	a-Gal antigen	Substructure
G52316LQ	GGM.000001	Type 2 LN	Substructure
G52316LQ	GGM.000005	Type 1 LN	Substructure
G52324RX	GGM.000001	Type 2 LN	Substructure
G52324RX	GGM.000018	Lewis x	Substructure
G52326GT	GGM.000001	Type 2 LN	Substructure
G52326OP	GGM.000001	Type 2 LN	Substructure
G52326OP	GGM.000005	Type 1 LN	Substructure
G52329HL	GGM.000001	Type 2 LN	Substructure
G52329HL	GGM.000005	Type 1 LN	Substructure
G52329HL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52333AW	GGM.000001	Type 2 LN	Substructure
G52333FC	GGM.000001	Type 2 LN	Substructure
G52333FC	GGM.000005	Type 1 LN	Substructure
G52333FC	GGM.000042	Blood group H (type 1)	Substructure
G52333TF	GGM.000001	Type 2 LN	Substructure
G52333TF	GGM.000018	Lewis x	Substructure
G52336LJ	GGM.000001	Type 2 LN	Substructure
G52337IZ	GGM.000001	Type 2 LN	Substructure
G52337IZ	GGM.000005	Type 1 LN	Substructure
G52337IZ	GGM.000018	Lewis x	Substructure
G52340XK	GGM.000001	Type 2 LN	Substructure
G52345FK	GGM.000001	Type 2 LN	Substructure
G52345FK	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52346US	GGM.000001	Type 2 LN	Substructure
G52346US	GGM.000005	Type 1 LN	Substructure
G52346US	GGM.000018	Lewis x	Substructure
G52346US	GGM.000020	Lewis a	Substructure
G52354QX	GGM.000001	Type 2 LN	Substructure
G52354QX	GGM.000002	Type 2 LN2	Substructure
G52354QX	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52354YX	GGM.000001	Type 2 LN	Substructure
G52354YX	GGM.000005	Type 1 LN	Substructure
G52354YX	GGM.000018	Lewis x	Substructure
G52354YX	GGM.000020	Lewis a	Substructure
G52354YX	GGM.000022	Sialyl Lewis x	Nonreducing-End
G52354YX	GGM.000024	Sialyl Lewis a	Nonreducing-End
G52354YX	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52354YX	GGM.000057	O-Mannose Lex	Core
G52358FD	GGM.000016	LacdiNAc	Substructure
G52360PJ	GGM.000001	Type 2 LN	Substructure
G52360PJ	GGM.000018	Lewis x	Substructure
G52360PJ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G52360PJ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52361YY	GGM.000001	Type 2 LN	Substructure
G52361YY	GGM.000005	Type 1 LN	Substructure
G52361YY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G52361ZH	GGM.000001	Type 2 LN	Substructure
G52361ZH	GGM.000018	Lewis x	Substructure
G52361ZH	GGM.000022	Sialyl Lewis x	Nonreducing-End
