term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
Disialyl Lewis a,GD000063,G93400AK,"Biosynthesis of disialyl Lewis a (Lea) was analyzed using previously cloned ST6GalNAc V and ST6GalNAc VI, which were responsible for the synthesis of alpha-series gangliosides.[PMID:12668675]",12668675|17760270|15231659|12668106|30716533|32050430|22467657,Disialyl Lewis is a sialyl Lewis a with an additional sialic acid attached at the C-6 position of penultimate GlcNAc. [PMID:15231659],GlycoEpitope:EP0040|CID:91854138|CHEBI:155549,GTC:G93400AK |GlycoEpitope:EP0040|CID:91854138|CHEBI:155549,disialyl Lea,"The 2-3,2-6 disialyl Lea determinant on epithelial cells may play a role in protecting normal epithelial cells.[GlycoEpitope:EP0040]","Mucin antigen carrying 2-3 sialylated Le a antigen or 2-3, 2-6 disialylated Lc4 antigen in cancer patients had the lowest carbohydrate/protein ratio. Thus, the carbohydrate/protein ratio in the type 1 chain mucin antigens in sera of normal subjects is higher than that in sera of cancer patients.[GlycoEpitope:EP0040]",,
Disialyl T antigen,GD000064,G01614ZM,"The most potent glycoside was disialyl T antigen (NeuAcalpha2-3Galbeta1-3[NeuAcalpha2-6]GalNAc-R), followed by 3-sialyl T antigen (NeuAcalpha2-3Galbeta1-3GalNAc-R), structures expressed on O-linked glycoproteins as well as on gangliosides.[PMID: 15701648]",29113555|17974963|33242079|12645620|15701648|26598643,α-Neup5Ac-(2→6)-[α-Neup5Ac-(2→3)-β-D-Galp-(1→3)]-α-D-GalpNAc in which the anomeric configuration of the reducing-end N-acetyl-D-glucosamine residue is α.[CHEBI:71602],GlycoMotif:GGM.000014|CID:70698317|CHEBI:71602|GlycoEpitope:EP0023|KEGG:G00027,GlycoMotif:GGM.000014|GTC:G01614ZM|CID:70698317|CHEBI:71602|GlycoEpitope:EP0023|KEGG:G00027,di-sialyl T antigen|disialyl-T antigen|disialylated T-antigen,associated with von Willebrand factor(VWF) plasma levels[GlycoEpitope:EP0023],,,
Disialylated biantennary,GD000065,,"FAB-MS, electrospray-mass spectrometry, and linkage analysis demonstrated that each monomer of rat CRP contained one oligosaccharide chain , predominantly a disialylated biantennary structure , attached to Asn-128.[PMID:8486673]",22426998|17171781|25022802|24812685|24780636|26582205|9499382|22978794|22594947|8486673|20356825|1634621|9244386|12966096|1472054|24243045|19579232|27943633,A biantennary glycan with two GlcNAc branches linked to the core and the addition of two sialic acid residues.,,,disialylated diantennary,appears in human transferrin[PMID: 24243045]|Appears in human apolipoprotein (apo) B-100.[PMID:2344297],galactosemia.[PMID:9499382],,
Disialylated biantennary complex-type,GD000066,,The glycan was shown to be a disialylated biantennary complex type oligosaccharide N-linked to 318 Asn.[PMID:11738084],11738084|9499382|9244386|24243045|12966096|25124522|19371135,A biantennary complex glycan with two GlcNAc branches linked to the core and the addition of two sialic acid residues.,,,,appears in human transferrin[PMID:24243045]|Appears in human apolipoprotein (apo) B-100.[PMID:2344297],galactosemia.[PMID:9499382],,
Disialylated fucosylated,GD000067,,Disialylated fucosylated and monosialylated non-fucosylated oligosaccharides were also identified.[PMID:17591618],17591618,A fucosylated glycan with two sialic acid components.,,,,,,,NBK453041
Forssman antigen,GD000068,G80062GG,Here we report the crystal structure of the complex between SLL-2 and Forssman antigen tetrasaccharide (GalNAcα1-3GalNAcβ1-3 Galα1-4 Galβ at 3.4 √Ö resolution.[PMID:28510705],28510705|31933576|28134301|7021748|1802714|7512587|7747818|23325748|268649|31816281|22015168|4147161|2857159|6267170|7293775|13367419|20636540|10460829|23255552|2675268|18955372|7020692|31784953|4114942|31273262|6257673|7696847|1916901|11169215|48262|26022515|6175621|31404475|6983878|8381954|10431785|3257757|6792413|25039359,"A linear amino pentasaccharide comprising N-acetyl-α-D-galactosamine, N-acetyl-β-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→3), (1→4) and (1→4).CHEBI:85789]",GlycoEpitope:EP0037|CID91825690|CHEBI:85789,GTC:G80062GG |GlycoEpitope:EP0037|CID91825690|CHEBI:85789,,,,,NBK453041
Forssman glycolipid,GD000069,G80062GG,"Analysis of metabolically labeled glycolipids released into the apical and basal culture medium, either as shed membrane vesicles or in budding viruses, also demonstrated the presence of the Forssman glycolipid on both apical and basolateral membranes of polarized cells.[PMID:3040119]",3040119|268649|23240079|28134301|3495590|1138893|10460829|10506200|8855242|1955453|1933935|3355161|6773959|14573676|29898878|10431785|1747956|11214737|7423202|389939|3871816|6187373|16133832|469271|3753492|2695680|7037611|25703376|23798992|414913|1868069|7960243,"A linear amino pentasaccharide comprising N-acetyl-α-D-galactosamine, N-acetyl-β-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→3), (1→4) and (1→4).[CHEBI:85789]",GlycoMotif:GGM.000084|CID:91825690|KEGG:G00095|CHEBI:85789|GlycoEpitope:EP0037|SugarBind_Ligand:86,GlycoMotif:GGM.000084|GTC:G80062GG|CID:91825690|KEGG:G00095|CHEBI:85789|GlycoEpitope:EP0037|SugarBind_Ligand:86,Forssman antigen|Globopentosylceramide,an antigenic marker for a major subpopulation of macrophages from murine spleen and peripheral lymph nodes[PMID:3495590],Pyelonephritis[SugarBind_Ligand:86]|Acute cystitis[SugarBind_Ligand:86],,NBK453041
Fucose-containing tetraantennary,GD000070,,The two major N-linked oligosaccharides of Namalwa EPO were fucose-containing tetraantennary and fucose-containing triantennary structures.[PMID:2550193],2550193,A tetraantennary glycan with four GlcNAc branches linked to the core and the addition of fucose.,,,,,,https://en.wikipedia.org/wiki/Forssman_antigen,NBK453042
Fucosyl GM1,GD000071,G91532KA,Unique localization of fucosyl GM1 implicates its possible role in cell adhesion and recognition in the nervous system.[PMID:8068725],6619101|16880505|9089399|29789847|8068725|19556222|1660040|2420639|9076515|15926079|19555091|2541996|16211870|1336587|21174147|14967068|18923900|30021910|16941490|27070150|8305235|10602885|2645049|7993838|10537341|3002616|8336147|15447995|8905401|11714535|9260862|32228455|3315641|8076384|2317201|3680254|6403518,A branched amino hexasaccharide consisting of the linear sequence α-L-Fuc-(1→2)-β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-D-Glc having a Neu5Ac residue attached to the inner galactose via an α-(2→3) linkage.[CHEBI:62686],GlycoEpitope:EP0049|CID:53356699|CHEBI:62686,GTC:G91532KA |GlycoEpitope:EP0049|CID:53356699|CHEBI:62686,,,small-cell lung cancer(SCLC)[GlycoEpitope:EP0049]|hepatoma[GlycoEpitope:EP0049],,
Fucosylated asialo-biantennary,GD000072,,"We found that approximately 63% of the total N-linked oligosaccharides were of the complex type, with bisialo-biantennary (28%), asialo-biantennary (7%), fucosylated bisialo-biantennary (25%), and fucosylated asialo-biantennary (3%) oligosaccharides representing the major complex-type carbohydrate species.[PMID:2065054]",2065054|17013932,Describing a biantennary oligosaccharide that has no sialic acid component but has fucose.,,,fucosylated asialo-diantennary,,,,
Fucosylated biantennary,GD000073,,The profiles of the PSA N-glycans from the free and complexed molecules were quite similar to each other and consisted of fucosylated biantennary oligosaccharides as the major class.[PMID:17956937],17956937|30525457|1933856,a biantennary glycan with two GlcNAc branches linked to the core and the addition of fucose.,,,fucosylated bisialo-diantennary,,,,
Fucosylated bisialo-biantennary,GD000074,,"We found that approximately 63% of the total N-linked oligosaccharides were of the complex type, with bisialo-biantennary (28%), asialo-biantennary (7%), fucosylated bisialo-biantennary (25%), and fucosylated asialo-biantennary (3%) oligosaccharides representing the major complex-type carbohydrate species.[PMID:2065054]",2065054,Describing a biantennary oligosaccharide that has two sialic acid component and fucose added.,,,Fucosylated biantennary,,,,
Fucosylated LDN,GD000075,G02240AO,"To date, oligomeric LDN and oligomeric fucosylated LDN (LDNF) have been found only on N-glycans from mammalian cells engineered to express Caenorhabditis elegansbeta4-GalNAc transferase and human alpha3-fucosyltransferase IX [Z. S. Kawar et al. (2005) J Biol Chem280, 12810-12819]. [PMID:16403022]",16403022|28151933|19545571|22448293,"An amino trisaccharide comprising an acetamido-β-D-galactose and an α-L-fucose attached to an acetamidoglucose by 1→4 and 1→3 linkages, respectively.[CHEBI:61864]",GlycoMotif:GGM.000017|GlycoEpitope:EP0151|CID:52921591|CHEBI:61864|MeSH:C488538|KEGG:G01594,GlycoMotif:GGM.000017|GTC:G02240AO|GlycoEpitope:EP0151|CID:52921591|CHEBI:61864|MeSH:C488538|KEGG:G01594,LDNF|Fucosylated lacdiNAc|LDN-F|(GalNAc)1 (GlcNAc)1 (LFuc)1,,,,
Fucosylated N-glycans,GD000076,,"Haptoglobin , an acute phase protein , has four potential N-glycosylation sites , although it remains unknown which site is responsible for the change in fucosylated N-glycans.[PMID:18214858]",18214858|31141660|26869352|29790113|31931062,The fucose from GDP-fucose is transferred to N-linked glycans.,,,,,pancreatic cancer.[PMID: 26869352],,
Fucosylated triantennary,GD000077,,Asn184 is only partially glycosylated and substituted by fucosylated triantennary and small amounts of diantennary N-acetyllactosaminic glycans.[PMID:2513186],2513186|29642865|7679920|31110965|2551687|15051952|12943224,A triantennary glycan with three GlcNAc branches linked to the core and the addition of fucose.,,,,appears in human alpha-fetoprotein (AFP).[PMID: 7679920],neoplastic diseases of the liver[PMID: 7679920 ]|hepatocellular carcinoma[PMID: 7679920].,,NBK453068
Galabiosylceramide,GD000078,G67988RO,"LacCer and its structural isomer, galabiosylceramide (Gb2, Galβ(1,4)Galβ-ceramide), are classified as ceramide dihexosides (CDH).[PMID:33360824]",33360824|29099167|25582508|2824515|4027258|32854306|32868283|31319156|29530250|27367163|2564247|27727434|10216186|10460829|24992926|23590301|15702404|1854798|14761135|3600200|8603914|8601603|1965141|17400502|3840690|15959771|7930586|7721812|17095952|2500499|3815386|8842706|10746023|3928791|3782065|6440894,A disaccharide consisting of β-D-galactopyranose having a D-galactopyranosyl residue attached at the 4-position via an α-linkage.[CHEBI:59314],GlycoEpitope:EP0113|CID:5288350|KEGG:G00497|KEGG:G10645|CHEBI:59314,GlycoEpitope:EP0113|GTC:G67988RO|CID:5288350|KEGG:G00497|KEGG:G10645|CHEBI:59314,,,tumor/lung[GlycoEpitope:EP0113]|tumor/gallbladder[GlycoEpitope:EP0113]|tumor/kidney[GlycoEpitope:EP0113]|tumor/pancreas[GlycoEpitope:EP0113],,
Galactosylceramide,GD000079,G65889KE,"Galactosylceramide improved behavioral, neuropathological, and biochemical parameters in Cln3 Cln3 Δex7/8 mice, paving the way for effective therapy for CLN3 disease and use of serum ceramide as a potential biomarker to track impact of therapies.[PMID:31393621]",31393621|19941861|9883654|33006978|26735924|22032265|18035062|25129050|2802541|1761517|28660574|475780|2302222,,GlycoEpitope:EP0074|SugarBind_Ligand:1|GlycoMotif:GGM.000061,GTC:G65889KE|GlycoEpitope:EP0074|SugarBind_Ligand:1|GlycoMotif:GGM.000061,GalCer|Galactocerebroside|LC,,Pleuropneumonia[SugarBind_Ligand:1]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:1]|Lyme disease[SugarBind_Ligand:1]|Plague[SugarBind_Ligand:1]|Acquired immune deficiency syndrome[SugarBind_Ligand:1],,
Galnac disialyl Lc4 (Hexasaccharide),GD000080,G33532XU,"Therefore, a new marker for prostate cancer is urgently required. We examined expression of a novel carbohydrate antigen, beta1,4-GalNAc-disialyl-Lc(4), defined by the monoclonal antibody RM2, in prostate cancer using 75 cases of radical prostatectomy specimens.[PMID: 12084983]",15704108|11278988|12084983|7509790,"(2R,4S,5R,6R)-5-Acetamido-2-[[(2R,3S,4R,5R,6S)-5-acetamido-4-[(2R,3R,4R,5S,6R)-4-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-5-[(2S,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-[(3R,4S,5S,6R)-2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-yl]oxyoxan-2-yl]methoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CID:91857945]",GlycoEpitope:EP0097|CID:91857945|CHEBI:149360,GlycoEpitope:EP0097|GTC:G33532XU|CID:91857945|CHEBI:149360,,,prostate cancer[GlycoEpitope:EP0097]|renal cell carcinoma/RCC[GlycoEpitope:EP0097],,
Gb5,GD000081,G99053DY,"LnbB, a member of the glycoside hydrolase family 20 isolated from Bifidobacterium bifidum, was shown to release GNB from Gb5 and GA1 oligosaccharides.[PMID:25839135]",12401210|25839135|31540393|31140679|3028540|3674263|31339142|30026902|10721708|30671362|26176557|25039255|24044869|32567311|27857717|21491978|24910250|29077212|8014006|27107335|32679486|1747956|8679447|28352526|11341836|10837462|7960243|16158941|3297853|2431136|21734356|8625206|30732055|12716912|20128040|2582447|14659673,A linear amino pentasaccharide comprising D-glucose at the reducing end with a β-D-galactosyl-(1→3)-N-acetyl-β-D-glucosaminyl-(1→3)-α-D-galactosyl-(1→4)-β-D-galactosyl moiety at the 4-position.[CHEBI:141842],GlycoMotif:GGM.000076|CID:53239691|KEGG:G00097|CHEBI:62311|SugarBind_Ligand:12,GlycoMotif:GGM.000076|GTC:G99053DY|CID:53239691|KEGG:G00097|CHEBI:62311|SugarBind_Ligand:12,Globopentaosylceramide,,Pyelonephritis[SugarBind_Ligand:12]|Actinomycosis[SugarBind_Ligand:12|Influenza[SugarBind_Ligand:12],,NBK453016
GD1,GD000082,G81983KG,Hormonal and metabolic disturbances observed in both adult and paediatric patients with Gaucher disease type 1 (GD1) are discussed in this review. The PubMed database was used to identify articles on endocrine and metabolic disorders in GD1.[PMID:31791361],5652802|25345088|31791361|29361370|31234327|30264864|25250137|7528216|31669751|20684311|16306603|10420586|7766692|31614613|26384672|31613991|19210136|8926633|29696051|32300455|7513313|26674302|20336376|24259734|31704237|21067946|30516933|27979707|26345314|30516941|31849452|27789132|30218706|29388611|20177787,,GlycoMotif:GGM.000105|CID:91859783|KEGG:G00126,GlycoMotif:GGM.000105|GTC:G81983KG|CID:91859783|KEGG:G00126,GD1c,,,,
GD1a,GD000083,G46677TE,"Exclusive exposure of rat oligodendrocytes to GD1a, but not other gangliosides, overcomes aggregated fibronectin-induced inhibition of myelin membrane formation, in vitro, and OPC differentiation in fibronectin aggregate containing cuprizone-induced demyelinated lesions in male mice. [PMID: 28899916]",28899916|26860251|21930390|32906699|26054879|29951721|11745410|17653976|26119566|21554929|18435913|15342262|26865725|21151139|15716397|21492147|16942752|26973195|24449473|14999485|22735313|20589721|10521808|22929125|7827024|16897174|25062498|17227759,A branched amino hexasaccharide consisting of the linear sequence α-Neu5Ac-(2→3)-β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to a galactose via an α-(2→3) linkage. The oligosaccharide of ganglioside GD1a.[CHEBI:59209],GlycoMotif:GGM.000107|CID:45266861|CHEBI:59209|GlycoEpitope:EP0056|SugarBind_Ligand:22|KEGG:G00111,GlycoMotif:GGM.000107|GTC:G46677TE|CID:45266861|CHEBI:59209|GlycoEpitope:EP0056|SugarBind_Ligand:22|KEGG:G00111,GD1alpha,,Gastroenteritis[SugarBind_Ligand:22]|Actinomycosis[SugarBind_Ligand:22]|Lazy leukocyte syndrome[SugarBind_Ligand:22]|Toxoplasmosis[SugarBind_Ligand:22]|Lyme disease[SugarBind_Ligand:22]|Botulism[SugarBind_Ligand:22]|Keratoconjunctivitis[SugarBind_Ligand:22]|Influenza[SugarBind_Ligand:22],,
GD1b,GD000084,G37184KW,Gangliosides have been known to play a role in the regulation of apoptosis in cancer cells. This study has employed disialyl-ganglioside GD1b to apoptosis in human breast cancer MCF-7 cells using exogenous treatment of the cells with GD1b and endogenous expression of GD1b in MCF-7 cells.[PMID: 27144558],27144558|24859332|18625966|7945223|32518172|26710925|31837178|20594196|30985655|11511306|1742806|11123278|7685064|2709011|33279873|22929125|9179156|17964572|8821498|32726962|26560950|2611779|10072058|20030259|16415013|10797556|11342695|8619520|21519903|16199892|23777091|30246056|10481046,"A branched amino hexasaccharide comprising a β-D-galactosyl-(1→4)-β-D-glucose disaccharide, the galactosyl residue of which carries β-D-galactosyl-(1→3)-N-acetyl-β-D-galactosaminyl and N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl disaccharide units through (2→4) and (2→3) linkages respectively. It is the carbohydrate portion of ganglioside GD1b.[CHEBI:59222]",GlycoMotif:GGM.000108|CID:45266846|CHEBI:59222|GlycoEpitope:EP0059|SugarBind_Ligand:14,GlycoMotif:0GGM.00108|GTC:G37184KW|CID:45266846|CHEBI:59222|GlycoEpitope:EP0059|SugarBind_Ligand:14,,,,,NBK453023
GD2,GD000085,G02657AK,Ganglioside GD2 is a tumor-associated surface antigen found in a broad spectrum of human cancers and stem cells. [PMID: 25440605],28154831|32002293|32733795|28145567|31500597|31903906|29180536|28415563|25440605|30617136|25604432|30198960|31075227|31721713|30955398|32195035|27304202|31015228|31653037|31016728|30670592|30613134|29221154|30027525|29442009|31762628|30485077|25642322|29436609|29151270|24773917|30612272|27654028|26298772,"A branched amino pentasaccharide consisting of a linear sequence of two α-sialyl residues, a β-D-galactosyl residue and an N-acetyl-β-D-glucosamine residue linked respectively (2→8), (2→8) and (1→4), to the galactosyl residue of which is also linked (1→4) an N-acetyl-β-D-glucosaminyl residue. It is the carbohydrate portion of ganglioside GD2.[CHEBI:59218]",GlycoMotif:GGM.000094|CID:45266844|CHEBI:59218|GlycoEpitope:EP0061|SugarBind_Ligand:88,GlycoMotif:GGM.000094|GTC:G02657AK|CID:45266844|CHEBI:59218|GlycoEpitope:EP0061|SugarBind_Ligand:88,,,breast cancer[PMID:28415563],,NBK453016|NBK453073
GD3,GD000086,G98544DH,"In mammalian cells, the intracellular accumulation of ganglioside GD3, an acidic glycosphingolipid, contributes to mitochondrial damage, a crucial event during the apoptopic program. [PMID: 12531552]",30245960|27591028|12531552|29069780|12470841|29436609|28295752|27304202|31138648|27288875|30446565|8721669|3903474|16081368|32743804|24372645|26792897|20890432|25330147|20581115|11174200|16040804|23783008|17368571|11023989|12901230|21807667|7061953|2231782|19423750|22632091|18202973|6392333|15896784|8261439|20052288|12847141|12486096|12118012|19912988|22795094|18655184|17043769|21395555|2472199|19776077,"A linear amino tetrasaccharide consisting of two sialyl, one galactose and one glucose residue (at the reducing end) connected by sequential α-(2→8)-, α-(2→3)- and β-(1→4)-linkages. The oligosaccharide of ganglioside GD3.[CHEBI:59210]",GlycoMotif:GGM.000091|CID:45266862|CHEBI:59210|GlycoEpitope:EP0062|SugarBind_Ligand:89|MeSH:C509062,GlycoMotif:GGM.000091|GTC:G98544DH|CID:45266862|CHEBI:59210|GlycoEpitope:EP0062|SugarBind_Ligand:89|MeSH:C509062,,,Cholera[SugarBind_Ligand:89]|Influenza[SugarBind_Ligand:89],,NBK453016
Globoside,GD000087,G00061MO,Results of TLC immunostaining of neutral glycolipids from the cDNA-transfected cells also supported the identity of the newly synthesized component as globoside. [PMID:10993897],10993897,,GlycoMotif:GGM.000070,GlycoMotif:GGM.000070|GTC:G00061MO,Cytolipin K|Gb4|Globoside I|Globotetraosylceramide|P antigen,,,,NBK453023
Globotetraosylceramide,GD000088,G00061MO,Here we report that PUGNAc treatment provokes globotetraosylceramide (Gb4Cer) accumulation in human umbilical vein endothelial cells (HUVEC).[PMID:28392398],28392398|25787850|23471986|2559078|32455599|2663859|32796033|3517161|20082214|30853699|15279935|26104834|20732996|30224239|31142708|30338271|25033755|30413389|7104376|29866658|24983355|6794884|31361021|21740983|33168837|31752441|28123520|29068380|24841197|27932383|28535204|31691795|27916888|27558838|10227680|26464281|22348006|22279060|25156739|32314902|22718629|23701631|23906628|8613382|23555772|20059899|7868240,"An amino tetrasaccharide consisting of 2-acetamido-2-deoxy-β-D-galactopyranosyl, α-D-galactopyranosyl, β-D-galactopyranosyl, and β-D-glucopyranose units joined together in sequence by (1→3), (1→4), and (1→4) glycosidic linkages, respectively.[CHEBI:145578]",GlycoMotif:GGM.000070|GlycoEpitope:EP0073|CID:5288889|CHEBI:145578|SugarBind_Ligand:18|MeSH:C024032, l;',Gb4Cer|Gb4|Globoside|P antigen|Cytolipin K,,Actinomycosis[SugarBind_Ligand:18]|Pyelonephritis[SugarBind_Ligand:18]|Acute cystitis[SugarBind_Ligand:18]|Shigellosis[SugarBind_Ligand:18]|Lazy leukocyte syndrome[SugarBind_Ligand:18]|Influenza[SugarBind_Ligand:18],,NBK453016
Globotriaosylceramide,GD000089,G00059MO,Defects in the gene encoding α-galactosidase A lead to accumulation of globotriaosylceramide (GL3) in various cell types.[PMID:32127409],32127409|28674962|30875019|30413389|31778662|31101366|24335674|31241709|24158513|28947349|31566927|28672034|31939530|29530250|27851774|26426881|25031264|29982630|24496231|29983334|28756410|27190352|29274327|29099167|28402705|23680766|28625968|26960552|26797827|22742555|27756537|31630715|3827883|28384397|29523338|31010832|27195818|26661087|23093409|30879639|27081853|17409683|29921669|25575293|26291612|23146289|25857295|26070511,Globotriaosylceramide is a type of globoside(glycosphingolipid) which is formed by alpha linkage of galactose to lactosylceramide. The reaction is catalyzed by enzyme A4GALT.[Wiki:Globotriaosylceramide],GlycoMotif:GGM.000068|GlycoEpitope:EP0071|CID:5279515|CHEBI:68485|MeSH:C018549|SugarBind_Ligand:27,GlycoMotif:GGM.000068|GTC:G00059MO|GlycoEpitope:EP0071|CID:5279515|CHEBI:68485|MeSH:C018549|SugarBind_Ligand:27,Gb3|GL3|Pk antigen|P^K antigen|Gb(3)|Gb_3|CD77|globotriaosylceramide|ceramide trihexoside|CTH|Trihexosylceramide,,Pyelonephritis[SugarBind_Ligand:27]|Acute cystitis[SugarBind_Ligand:27]|Shigellosis[SugarBind_Ligand:27]|Lyme disease[SugarBind_Ligand:27]|Cutaneous lesions[SugarBind_Ligand:27]|Diarrhea[SugarBind_Ligand:27],,
Glucosylceramide,GD000090,G71142DF,"Glucosylceramide (GlcCer), the initial GSL synthesized from ceramide by GCS (GlcCer synthase), is required for embryonic survival, but its role in the lung is unknown.[PMID:31265321]",31265321|29290548|29627573|20919653|28427052|30550553|24415933|31914593|31051284|23073611|30146946|31619618|26840726|29750412|8065509|27412675|27840079|30611744|31353719|25661072|28686011|25803043|28865794|28154347|31466334|30242129|12531551|30639288|30864417|27711049|22764777|27905603|29077010|28744000|23555901|24115322|12803919|29204666|23628459|28851512|26136173|23563543|30110701|26572681|2193825|29926415|31727994|27479571,"Cerebrosides which contain as their polar head group a glucose moiety bound in glycosidic linkage to the hydroxyl group of ceramides. Their accumulation in tissue, due to a defect in beta-glucosidase, is the cause of Gaucher's disease.[MeSH:D005963]",MeSH:D005963|GlycoMotif:GGM.000060|CHEBI:83264,MeSH:D005963|GlycoMotif:GGM.000060|CHEBI:83264|GTC:G71142DF,GlcCer|Glucocerebroside|Ceramide monohexoside|CMH,"The structural characterization of mixed membranes made of cationic lipids and glucosylceramides may be important for developing novel immunotherapeutic tools such as vaccine adjuvants.[PMID:30611744]|Glucosylceramide (GlcCer), the initial GSL synthesized from ceramide by GCS (GlcCer synthase), is required for embryonic survival, but its role in the lung is unknown.[PMID:31265321]",Gaucher's Disease|Pharyngitis[SugarBind_Ligand:3]|Tracheobronchitis[SugarBind_Ligand:3]|Pleuropneumonia[SugarBind_Ligand:3]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:3]|Diarrhea[SugarBind_Ligand:3],,NBK453065
GM1,GD000091,G48558GR,"GM1-induced fluidization of the phospholipid membranes and probable physical contact between bulky sugar head group of GM1 and spectrin, may explain the modulatory role of GM1 on aminophospholipid interactions with nonerythroid brain spectrin.[PMID: 29920238]",18524657|31761138|29920238|31937438|25762012|25931034|31776384|32013258|30776097|31048748|31447771|30292198|28796418|27806275|21076871|27552916|17986147|26960162|27815022|25851126|32916822|11462671|28236574|15911874|28577204|28497346|1794005|31934908|30267299|16902585|29439846|32325905|29747823|27576485|26338710|27858734|24501414|26818965|26629687|26958633|1854596|32134593|32198666|6619101,A branched amino pentasaccharide consisting of the linear sequence β-D-Gal-(1→3)-β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the inner galactose via an α-(2→3) linkage. The oligosaccharide of ganglioside GM1a.[CHEBI:59208],GlycoMotif:GGM.000098|CID:196569|CHEBI:59208|GlycoEpitope:EP0050|SugarBind_Ligand:13|KEGG:G00110,GlycoMotif:GGM.000098|GTC:G48558GR|CID:196569|CHEBI:59208|GlycoEpitope:EP0050|SugarBind_Ligand:13|KEGG:G00110,,,Gastroenteritis[SugarBind_Ligand:13]|Actinomycosis[SugarBind_Ligand:13]|Lazy leukocyte syndrome[SugarBind_Ligand:13]|Toxoplasmosis[SugarBind_Ligand:13]|Cholera[SugarBind_Ligand:13]|Botulism[SugarBind_Ligand:13],,
GM2,GD000092,G79389NT,"GM1 gangliosidosis has both central nervous system and systemic findings; while, GM2 gangliosidosis is restricted primarily to the central nervous system.[PMID: 27491214]",29618308|27491214|32867370|30030044|27499644|31097363|29100724|27402091|31852956|30389374|30988135|8786814|14533808|23370522|28192816|32692591|29106755|28833537|11339652|9728335|27270764|9714704|26175473|27018595|28615102|28974375|32951593|11462672|28955902|17192692|26538065|25421609|9572057|11596983|15264019|23236285|11596984|31261761|30113798|24391178|24309906|22224667|7980537|18272501|9006924|,A branched amino tetrasaccharide consisting of the linear sequence β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the galactose via an α-(2→3) linkage. Corresponds to the carbohydrate portion of ganglioside GM2.[CHEBI:59220],GlycoMotif:GGM.000095|CID:45266845|CHEBI:59220|GlycoEpitope:EP0051|SugarBind_Ligand:39|KEGG:G00109|KEGG:G10351,GlycoMotif:GGM.000095|GTC:G79389NT|CID:45266845|CHEBI:59220|GlycoEpitope:EP0051|SugarBind_Ligand:39|KEGG:G00109|KEGG:G10351,,,lung adenocarcinoma[GlycoEpitope:EP0051]|embryonal carcinoma[GlycoEpitope:EP0051]|germ cell tumor[GlycoEpitope:EP0051]|teratocarcinoma[GlycoEpitope:EP0051]|squamous cell carcinoma[GlycoEpitope:EP0051]|Gastroenteritis[SugarBind_Ligand:39]|Cholera[SugarBind_Ligand:39]|Clostridial myonecrosis[SugarBind_Ligand:39]|Tetanus[SugarBind_Ligand:39],https://en.wikipedia.org/wiki/GM1_gangliosidoses,NBK453016
